ticker,field,issue_type,period_end_date,details
NOW,operating_cash_flow,restatement,2017-12-31,Value changed across filings: 642825000 (filed 2018-02-28) -> 642940000 (filed 2020-02-20). Keeping the later filing's value.
NOW,operating_cash_flow,restatement,2019-12-31,Value changed across filings: 1235972000 (filed 2020-02-20) -> 1236000000 (filed 2022-02-03). Keeping the later filing's value.
NOW,operating_cash_flow,restatement,2020-12-31,Value changed across filings: 1786599000 (filed 2021-02-12) -> 1786000000 (filed 2023-01-31). Keeping the later filing's value.
NOW,cash_and_equivalents,restatement,2019-12-31,Value changed across filings: 775778000 (filed 2020-02-20) -> 776000000 (filed 2022-02-03). Keeping the later filing's value.
NOW,cash_and_equivalents,restatement,2020-12-31,Value changed across filings: 1676794000 (filed 2021-02-12) -> 1677000000 (filed 2023-01-31). Keeping the later filing's value.
NOW,short_term_debt,tag_fallback,,"Primary tag 'LongTermDebtCurrent' didn't cover every year; filled gaps from ['ConvertibleNotesPayableCurrent', 'ShortTermBorrowings'] (period-by-period, only for dates the higher-priority tag never reports)."
NOW,long_term_debt,tag_fallback,,"Primary tag 'LongTermDebtNoncurrent' didn't cover every year; filled gaps from ['ConvertibleLongTermNotesPayable', 'ConvertibleDebt', 'LongTermDebt'] (period-by-period, only for dates the higher-priority tag never reports)."
NOW,long_term_debt,restatement,2014-12-31,Value changed across filings: 443764000 (filed 2015-02-27) -> 443437000 (filed 2016-02-25). Keeping the later filing's value.
NOW,diluted_shares_outstanding,restatement,2023-12-31,Value changed across filings: 205591000 (filed 2024-01-25) -> 1027953000 (filed 2026-01-29). Keeping the later filing's value.
NOW,diluted_shares_outstanding,restatement,2024-12-31,Value changed across filings: 208423000 (filed 2025-01-30) -> 1042113000 (filed 2026-01-29). Keeping the later filing's value.
NOW,total_debt,partial_debt_components,2012-12-31,Only one of short_term_debt (None) / long_term_debt (0) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
NOW,total_debt,partial_debt_components,2013-12-31,Only one of short_term_debt (None) / long_term_debt (414777000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
NOW,total_debt,partial_debt_components,2014-12-31,Only one of short_term_debt (None) / long_term_debt (443437000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
NOW,total_debt,partial_debt_components,2015-12-31,Only one of short_term_debt (None) / long_term_debt (474534000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
NOW,total_debt,partial_debt_components,2019-12-31,Only one of short_term_debt (52668000) / long_term_debt (None) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
NOW,total_debt,partial_debt_components,2020-12-31,Only one of short_term_debt (0) / long_term_debt (None) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
NOW,total_debt,partial_debt_components,2023-12-31,Only one of short_term_debt (None) / long_term_debt (1488000000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
NOW,total_debt,partial_debt_components,2024-12-31,Only one of short_term_debt (None) / long_term_debt (1489000000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
NOW,total_debt,partial_debt_components,2025-12-31,Only one of short_term_debt (None) / long_term_debt (1491000000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
WDAY,revenue,tag_fallback,,"Primary tag 'Revenues' didn't cover every year; filled gaps from ['RevenueFromContractWithCustomerExcludingAssessedTax'] (period-by-period, only for dates the higher-priority tag never reports)."
